date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:24	496/496	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:22%20GMT	https://www.dealabs.com/whatsapp/widget/redirect?source=widget&element=title	C:/wamp64/www/indus/www.dealabs.com/whatsapp/widget/redirect03d7	(from https://www.dealabs.com/bons-plans)
15:38:24	4265/4265	---M--	200	added ('OK')	image/png	etag:%225a8e8d19-10a9%22	https://assets.dealabs.com/assets/img/logo/logo-120x120_be631.png	C:/wamp64/www/indus/assets.dealabs.com/assets/img/logo/logo-120x120_be631.png	(from https://www.dealabs.com/bons-plans)
15:38:24	496/496	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:23%20GMT	https://www.dealabs.com/whatsapp/widget/redirect?source=widget&element=button	C:/wamp64/www/indus/www.dealabs.com/whatsapp/widget/redirectd07c	(from https://www.dealabs.com/bons-plans)
15:38:24	13511/13511	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Feb%202018%2013:27:04%20GMT	https://static-pepper.dealabs.com/threads/thread_large/default/1179331_1.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/threads/thread_large/default/1179331_1.jpg	(from https://www.dealabs.com/bons-plans)
15:38:25	384492/384492	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:23%20GMT	https://www.dealabs.com/bons-plans/destiny-le-roi-des-corrompus-edition-legendaire-sur-xbox-one-et-ps4-en-magasin-via-lappli-micromania-1179331	C:/wamp64/www/indus/www.dealabs.com/bons-plans/destiny-le-roi-des-corrompus-edition-legendaire-sur-xbox-one-et-ps4-en-magasin-via-lappli-micromania-1179331.html	(from https://www.dealabs.com/bons-plans)
15:38:26	929/929	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Oct%202017%2000:57:50%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/39775_1.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/39775_1.jpg	(from https://www.dealabs.com/bons-plans)
15:38:26	743399/743399	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:24%20GMT	https://www.dealabs.com/bons-plans/micromania	C:/wamp64/www/indus/www.dealabs.com/bons-plans/micromania.html	(from https://www.dealabs.com/bons-plans)
15:38:27	58101/58101	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:26%20GMT	https://www.dealabs.com/%22https://go.onelink.me/2090959700?pid=banner&c=banner\%22	C:/wamp64/www/indus/www.dealabs.com/_https_/go.onelink.me/2090959700.307880.delayed	(from https://www.dealabs.com/bons-plans)
15:38:27	16038/16038	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:26%20GMT	https://www.dealabs.com/visit/thread/1179331	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1179331	(from https://www.dealabs.com/bons-plans)
15:38:28	243469/243469	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:26%20GMT	https://www.dealabs.com/bons-plans/star-wars-battlefront-2-2005-sur-pc-dematerialise-steam-1179257	C:/wamp64/www/indus/www.dealabs.com/bons-plans/star-wars-battlefront-2-2005-sur-pc-dematerialise-steam-1179257.html	(from https://www.dealabs.com/bons-plans)
15:38:28	811/811	---M--	200	added ('OK')	image/jpeg	date:Sat,%2007%20Oct%202017%2000:58:56%20GMT	https://static-pepper.dealabs.com/users/user_small_listing_avatar/default/68870_1.jpg	C:/wamp64/www/indus/static-pepper.dealabs.com/users/user_small_listing_avatar/default/68870_1.jpg	(from https://www.dealabs.com/bons-plans)
15:38:29	610684/610684	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2014:38:27%20GMT	https://www.dealabs.com/bons-plans/gamesplanet	C:/wamp64/www/indus/www.dealabs.com/bons-plans/gamesplanet.html	(from https://www.dealabs.com/bons-plans)
15:38:29	16290/16290	---MC-	302	error ('Found')	text/html	date:Thu,%2022%20Feb%202018%2014:38:27%20GMT	https://www.dealabs.com/visit/thread/1179257	C:/wamp64/www/indus/www.dealabs.com/visit/thread/1179257	(from https://www.dealabs.com/bons-plans)
